name,category,address,website,plus_code,comment_avg,comment_count 
www.Agdeo24.pl,Haushaltswarengeschäft,"Henryka Sienkiewicza 4, 05-822 Milanówek, Polen",,"4MJ7+35 Milanówek, Polen","4,8",5
Komis aut używanych,Gebrauchtwagenhändler,"Tłuste 17D, 05-825 Kłudno Stare, Polen",,"5J25+46 Kłudno Stare, Polen","2,4",16
Auto-Kram. Komis samochodowy,Autohändler,"Kolonijna 2, 06-400 Ciechanów, Polen",aut-kram.auto.com.pl,"VJ3H+VC Ciechanów, Polen","4,8",6
AUTO - MAR KOMIS SAMOCHODOWY,Gebrauchtwagenhändler,"Henryka Sławika 4, 06-400 Ciechanów, Polen",,"VHPJ+VW Ciechanów, Polen","4,7",23
Anzo Auto Komis,Geschäftsstelle,"Aleja Unii Europejskiej, 06-406, Polen",,"VMH3+9F Ciechanów, Polen","5,0",1
Skup aut Ciechanów - skup samochodów używanych za gotówkę,Gebrauchtwagenhändler,"Armii Krajowej 15, 06-413 Ciechanów, Polen",,"VJGH+PW Ciechanów, Polen",,
Sklep-komis dzieciecy MATIK,Bekleidungsgeschäft,"Zygmunta Kazikowskiego 15, 05-300 Mińsk Mazowiecki, Polen",,"5HH5+CM Mińsk Mazowiecki, Polen","4,6",11
Top-Auto. Noga P.,Gebrauchtwagenhändler,"Franciszka Żwirki 28/34, 05-300 Mińsk Mazowiecki, Polen",topauto2.otomoto.pl,"5HJJ+JP Mińsk Mazowiecki, Polen","5,0",5
MOTOPRUS | Auto komis | sprzedaż samochodów używanych,Gebrauchtwagenhändler,"Jaśminowa 6, 05-300 Nowe Osiny, Polen",prus.otomoto.pl,"5JJ5+7C Nowe Osiny, Polen","5,0",9
Car 4 You,Fahrzeughändler,"Mieszka I 7, 05-300 Mińsk Mazowiecki, Polen",car4you-importusa.otomoto.pl,"5HR2+JP Mińsk Mazowiecki, Polen","5,0",2
"Piotrowski K.G. Autoholowanie, pomoc drogowa. Naprawa samochodów",Autohändler,"Warszawska 249, 05-303 Mińsk Mazowiecki, Polen",,"5HHJ+6P Mińsk Mazowiecki, Polen",,
Auto Komis Multi - Max,Autohändler,"Tadeusza Zawadzkiego ""Zośki"" 12, 07-410 Ostrołęka, Polen",,"3HJV+W7 Ostrołęka, Polen","1,0",2
Skup aut Ostrołęka - skup samochodów używanych za gotówkę,Gebrauchtwagenhändler,"Targowa 33, 07-410 Ostrołęka, Polen",,"3HMV+MR Ostrołęka, Polen",,
Suliński Włodzimierz. Komis,Gebrauchtwarenhändler,"Obrońców Modlina 368, 05-160 Nowy Dwór Mazowiecki, Polen",,"CMP8+C3 Nowy Dwór Mazowiecki, Polen","5,0",1
Skup Aut Eryk Kowalski,Gebrauchtwagenhändler,"Nałęcza 26, 05-100 Nowy Dwór Mazowiecki, Polen",,"CPH7+C8 Nowy Dwór Mazowiecki, Polen","5,0",1
Duch Andrzej. Skup i sprzedaż samochodów,Autohändler,"Wojska Polskiego 1A, 05-101 Nowy Dwór Mazowiecki, Polen",,"CP9F+9J Nowy Dwór Mazowiecki, Polen","3,0",2
Auto Handel Marek Misiun,Gebrauchtwagenhändler,"Kolejowa 14, 05-180 Pomiechówek, Polen",olx.pl,"FPGW+WF Pomiechówek, Polen","4,4",40
*SKUP AUT *POMOC DROGOWA *AUTOLAWETA *AUTO-KASACJA *ZŁOMOWANIE AUT,Gebrauchtwagenhändler,"64, 05-191 Studzianki, Polen",,"GQQ6+P6 Studzianki, Polen","5,0",9
WARSZTAT SAMOCHODOWY MAŁY-AUTO Paweł Bębenek,Autowerkstatt,"Nowodworska 14a, 05-100 Nowy Dwór Mazowiecki, Polen",,"CQM5+H3 Nowy Dwór Mazowiecki, Polen","4,2",81
AUTO - DOŁEK WERCZYŃSKI JACEK,Gebrauchtwagenhändler,"Warszawska 111, 05-190 Nasielsk, Polen",,"HRQJ+C4 Nasielsk, Polen","4,0",24
Auto-Sukces Kamil Pietrzak,Gebrauchtwagenhändler,"Makowa 52, 05-191 Stare Pieścirogi, Polen",autosukces.eu,"HQJ3+QW Stare Pieścirogi, Polen","4,6",43
Mierzejewski Mariusz. FHU. Autokomis,Fahrzeughändler,"gen. armii Gorbatowa 18 61, 07-410 Ostrołęka, Polen",fhumierzejewski.pl,"3HHV+78 Ostrołęka, Polen","3,5",10
Komis Damski,Kommissionsgeschäft,"Młynarska 4D, 05-500 Piaseczno, Polen",,"32HG+3Q Piaseczno, Polen","4,4",56
Kenwei-sklep.pl,Elektrofachmarkt,"Ługi 74, 05-400 Otwock, Polen",,"37W4+HJ Otwock, Polen",,
Komis dziecięcy Komisiaczek,Kinderladen,"Puławska 13, 05-500 Piaseczno, Polen",,"32GG+HC Piaseczno, Polen","4,3",43
Komis Artykułów Dziecięcych,Kinderbekleidungsgeschäft,"Królewiecka 19, 09-402 Płock, Polen",facebook.com,"GMWW+X5 Płock, Polen","3,0",2
superkomis.com.pl,Kommissionsgeschäft,"al. Jerozolimskie 416, 05-800 Pruszków, Polen",,"5RFP+F8 Pruszków, Polen",,
AGP Samochody używane,Gebrauchtwagenhändler,"Bliska 7B, 09-400 Płock, Polen",,"GPRR+27 Płock, Polen","3,0",4
"Beat-Pol. Foteliki samochodowe, wóżki dziecięce, komis",Babyausstattungsgeschäft,"Józefa Kraszewskiego 23D, 05-840 Brwinów, Polen",,"4PMF+X3 Brwinów, Polen","5,0",5
F.H.U.AUTO-HANDEL WOJCIECH URBAŃSKI AUTO KOMIS,Geschäftsstelle,"Bielska 67, 09-400 Płock, Polen",,"HP65+M2 Płock, Polen",,
M&C CARS,Gebrauchtwagenhändler,"Bielska 50, 09-400 Płock, Polen",mccars1.otomoto.pl,"HP54+J4 Płock, Polen","2,2",9
Skup Aut Piaseczno,Gebrauchtwagenhändler,"Wojska Polskiego, 05-500 Piaseczno, Polen",iskupautwarszawa.pl,"32FF+V2 Piaseczno, Polen","5,0",3
Kluge,Gebrauchtwagenhändler,"Bielska 66, 09-400 Płock, Polen",kluge.pl,"HPFJ+37 Płock, Polen","5,0",2
PolskieMaroko24h,E-Commerce-Dienst,"Ignacego Daszyńskiego 47, 05-800 Pruszków, Polen",,"5Q6W+MP Pruszków, Polen",,
Skup samochodów Skup aut Kasacja Złomowanie,Gebrauchtwagenhändler,"Bielska 125, 09-400 Płock, Polen",facebook.com,"HPGP+JC Płock, Polen",,
Meble stylowe,Möbelgeschäft,"Warszawska 2, 05-805 Otrębusy, Polen",,"4QM6+C3 Otrębusy, Polen","4,5",2
AUTO KOMIS,Gebrauchtwagenhändler,"Harcerska 67, 09-410 Płock, Polen",,"GQ99+G5 Płock, Polen","1,0",5
"Skup Aut Pruszków, Piastów i okolice Zwrot OC",Gebrauchtwagenhändler,"Grunwaldzka 8, 05-820 Piastów, Polen",autoskupcentrum.pl,"5RFP+X4 Piastów, Polen","5,0",4
Sellauto,Gebrauchtwagenhändler,"Długa 56, 05-800 Pruszków, Polen",sellauto.pl,"5RH3+W6 Pruszków, Polen",,
J&W,Gebrauchtwagenhändler,"Bielska 65A, 09-400 Płock, Polen",linktr.ee,"HP54+XW Płock, Polen","4,4",20
Skup Aut Warszawa - Lucars,Gebrauchtwagenhändler,"Lipowa 7/23, 05-800 Pruszków, Polen",skupaut-lucars.pl,"5R78+56 Pruszków, Polen",,
Gastronorm Jacek Targoński,Gaststättenbedarf,"Julianowska 35, 05-500 Warszawa, Polen",gastronorm.pl,"32MV+XH Warschau, Polen",,
M&B 4partner Sp. z o.o.,Autoauktionshaus,"Bielska 65, 09-400 Płock, Polen",,"HP64+9P Płock, Polen","1,0",1
"Skup aut, skup samochódów Piastów - laweta",Gebrauchtwagenhändler,"Dygasińskiego 10 m2/3, 05-820 Piastów, Polen",skupaut24.eu,"5VP4+8J Piastów, Polen","5,0",18
A2 Komis,Gebrauchtwagenhändler,"Ciepła 20, 05-800 Pruszków, Polen",,"5QMP+Q7 Pruszków, Polen","4,3",6
Komis Garrita Sp. z o. o. - Janusz Czesław Wojtalik,Kommissionsgeschäft,"Juliusza Słowackiego 284, 26-604 Radom, Polen",,"959V+V2 Radom, Polen",,
Gra-Jar,Fahrzeughändler,"al. Jerozolimskie 290, 05-816 Reguły, Polen",,"5VF3+GV Reguły, Polen",,
Piekart Marek. Firma handlowa. Autohandel,Fahrzeughändler,"Romanówka 13, 08-101 Siedlce, Polen",,"565W+23 Siedlce, Polen","3,7",3
Borkowski Maciej. Komis. Sprzedaż artykułów przemysłowych,Gebrauchtwarenhändler,"Stanisława Moniuszki 2B, 26-610 Radom, Polen",,"95W3+PF Radom, Polen","5,0",5
CHUDZYŃSKI SKUP CIAGNIKÓW,Kommissionsgeschäft,"Mokas 48b, 96-503 Sochaczew, Polen",,"78C8+P2 Mokas, Polen",,
Habryń. PPHU. Habryń D.,Gebrauchtwarenhändler,"Józefa Ignacego Kraszewskiego 1, 26-600 Radom, Polen",,"C46Q+2W Radom, Polen","2,0",1
SkupAut.Expert,Gebrauchtwagenhändler,"Aleksandra Sochaczewskiego 4/84, 96-500 Sochaczew, Polen",,"66MX+5J Sochaczew, Polen","5,0",23
Skup Aut,Kommissionsgeschäft,"Kuznocin 33b, 96-500 Kuznocin, Polen",,"669C+FR Kuznocin, Polen","5,0",1
AUTO KOMIS WSC,Gebrauchtwagenhändler,"aleja 600-lecia 25, 96-500 Sochaczew, Polen",,"66MW+F9 Sochaczew, Polen",,
Auto Skup PRO - Skup Samochodów Warszawa,Gebrauchtwagenhändler,"aleja 600-lecia 42b/36, 96-500 Sochaczew, Polen",autoskuppro.pl,"67M2+92 Sochaczew, Polen","5,0",10
IMPORT-EXPORT BRACIAKI BARTŁOMIEJ BARTOSIAK,Gebrauchtwagenhändler,"Gołębiowska 107, 26-615 Radom, Polen",samochody.pl,"C58V+6C Radom, Polen","4,8",31
Aauto Skup szybka gotówka,Gebrauchtwagenhändler,"Gawłów 29, 96-500 Sochaczew, Polen",,"7743+W9 Gawłów, Polen","5,0",12
Auto Handel,Autohändler,"08-110 Siedlce, Polen",,"573X+CW Siedlce, Polen",,
Syroka Andrzej. Firma handlowa,Autohändler,"Ujrzanów 272B, 08-110 Ujrzanów, Polen",,"48W5+F9 Ujrzanów, Polen","4,7",10
Spodenkowo,Bekleidungsgeschäft,"Bolesława Chrobrego 22, 26-600 Radom, Polen",facebook.com,"C555+23 Radom, Polen","4,7",89
mat auto Ola Turczyn,Gebrauchtwagenhändler,"Warszawska 112, 08-110 Siedlce, Polen",,"569V+G4 Siedlce, Polen","3,0",4
Autokomis,Gebrauchtwagenhändler,"Kielecka 26, 26-610 Radom, Polen",,"C439+P9 Radom, Polen",,
AUTO SKUP-SKUP AUT ZA GOTÓWKĘ BBS,Gebrauchtwagenhändler,"Mikołaja Kopernika 23, 96-500 Sochaczew, Polen",facebook.com,"668J+99 Sochaczew, Polen",,
Piotrex. Skup i sprzedaż samochodów,Gebrauchtwagenhändler,"Wyszogrodzka 151a, 96-500 Sochaczew, Polen",,"77CP+M3 Sochaczew, Polen","2,9",10
Skup aut Sochaczew. Skup samochodów używanych i uszkodzonych,Gebrauchtwagenhändler,"Polna 9A, 96-500 Sochaczew, Polen",,"66MX+25 Sochaczew, Polen",,
Lamusownia galeria rozmaitości,Kommissionsgeschäft,"Nowohucka 1, 31-580 Kraków, Polen",,"32C4+C7 Krakau, Polen","5,0",1
Butik Emanation,Damenmodengeschäft,"Dobrego Pasterza 64, 31-416 Kraków, Polen",,"3XQ8+34 Krakau, Polen","5,0",12
Auto-Gaz,Tankstelle,"Kosowska 96, 08-300 Sokołów Podlaski, Polen",,"C6CQ+PM Sokołów Podlaski, Polen","4,7",3
IBPS Technic,Anbieter von Sicherheitssystemen,"Długa 53, 08-300 Sokołów Podlaski, Polen",,"C734+HV Sokołów Podlaski, Polen",,
Michałowski Dariusz Materiały Budowlane,Baustoffhandel,"Małkińska, 07-322 Nur, Polen",,"M8C7+V8 Nur, Polen","4,8",12
Godlewski Mieczysław. Komis samochodowy,Fahrzeughändler,"07-322, Polen",,"P973+MX Kamieńczyk Wielki, Polen",,
Komis,Kommissionsgeschäft,"Powstańców 7, 05-870 Błonie, Polen",,"5JX9+MH Błonie, Polen","1,0",1
Jacpol Używane Urządzenia Chłodnicze,Geschäft für gebrauchte Haushaltsgeräte,"Warszawska 161, 05-082 Latchorzew, Polen",jacpol.net,"6VW2+CR Latchorzew, Polen","5,0",2
AutoSearch,Gebrauchtwagenhändler,"Poznańska 53C, 05-850 Jawczyce, Polen",autosearch.pl,"6V85+52 Jawczyce, Polen","5,0",72
Stolica Zakupów,Internetladen,"Wieruchowska 98, 05-082 Zielonki-Parcela, Polen",stolicazakupow.pl,"6RQH+94 Zielonki-Parcela, Polen","5,0",15
Komis,Kommissionsgeschäft,"Stanisława Moniuszki, 05-200 Wołomin, Polen",,"86VX+V3 Wołomin, Polen","5,0",4
odhandlarza.com,Autohändler,"Turystyczna 9, 05-090 Rybie, Polen",odhandlarza.com,"5W2V+Q2 Rybie, Polen","5,0",18
"Dil Cars Autoopieka, Doradztwo Motoryzacyjne, Sprzedaz Aut, DilCars Auto Handel",Geschäftsstelle,"Warszawska, 05-850, Polen",,"7Q49+J6 Wojcieszyn, Polen","4,3",19
MERCATUS Piotr Okrassa,Gebrauchtwagenhändler,"Błońska 9, 05-084 Leszno, Polen",,"7H4R+RG Leszno, Polen",,
Auto Team Mariusz Birek,Gebrauchtwagenhändler,"Stołeczna 177, 05-083 Zaborów, Polen",autoteam.otomoto.pl,"7M78+68 Zaborów, Polen","4,1",26
Dora Komis,Geschäft,"05-200 Wołomin, Polen",facebook.com,"86VV+V8 Wołomin, Polen","5,0",2
Komis Zawsze Modnie,Vintage-Moden-Geschäft,"Starowiślna 23, 31-038 Kraków, Polen",,"3W4V+RQ Krakau, Polen","4,9",10
POMPON KOMIS,Kommissionsgeschäft,"www.facebook.com/pomponkomis, Instagram/ pompon_komis, Marii Konopnickiej 9, 30-302 Kraków, Polen",pomponkomis.pl,"3W3H+2J Krakau, Polen","4,3",22
Skup I Sprzedaż Samochodów Używanych Tadeusz Hanusiak,Geschäft,"Emilii Plater 19, 07-200 Wyszków, Polen",,"HCVP+H2 Wyszków, Polen","3,0",2
Autokomis Winiarek,Gebrauchtwagenhändler,"Powstańców 9, 05-870 Błonie, Polen",,"5JX9+JV Błonie, Polen","4,2",141
Komis,Gebrauchtwagenhändler,"Świętojańska 154, 07-200 Wyszków, Polen",,"JF73+3H Wyszków, Polen",,
Auto Komis,Gebrauchtwagenhändler,"Pułtuska 97, 07-200 Wyszków, Polen",,"HCXP+XG Wyszków, Polen","3,3",7
Tomi Cars Sp. z o.o. Kurczak T.,Fahrzeughändler,"Krakowskie Przedmieście 17, 32-700 Bochnia, Polen",,"XC78+PF Bochnia, Polen",,
Firma Handlowo Usługowa Paweł,Gebrauchtwagenhändler,"606, 32-700 Proszówki, Polen",fhupawel.gratka.pl,"2C2H+78 Proszówki, Polen","4,9",16
Janik - Sprzedaż i Wynajem,Gebrauchtwagenhändler,"Łapczyca 432, 32-744 Łapczyca, Polen",,"X96F+J6 Łapczyca, Polen",,
Skup Aut MAZ-CARS Barbara Mazankiewicz,Gebrauchtwagenhändler,"Kowalska 1/3/4, 32-700 Bochnia, Polen",facebook.com,"XCCJ+82 Bochnia, Polen","5,0",29
Sprzedaż Samochodów,Fahrzeughändler,"32-700 Bochnia, Polen",,"XC6F+M4 Bochnia, Polen",,
Auto komis AUTO-TOMAS,Kommissionsgeschäft,"Ks. Łąckiego 3, 32-566 Regulice, Polen",auto-tomas.otomoto.pl,"3GMG+99 Regulice, Polen","4,7",6
Komis Sklep Lamus,Geschäft,"Długa 45, 31-147 Kraków, Polen",,"3WCP+5Q Krakau, Polen","5,0",1
Auto Skup Skup samochodów,Gebrauchtwagenhändler,"Działkowa 2, 32-500 Chrzanów, Polen",,"5C25+JW Chrzanów, Polen","5,0",2
Komis Boutique,Bekleidungsgeschäft,"Świętej Agnieszki, 31-071 Kraków, Polen",,"3W3R+24 Krakau, Polen","5,0",5
Burzej Robert. Firma handlowo - usługowa,Fahrzeughändler,"Piaski 43, 32-555 Zagórze, Polen",,"3CP6+P9 Zagórze, Polen","4,2",5
FASHIONJOY sklep & komis marek premium,Bekleidungsgeschäft,"Wielopole 13/2, 31-072 Kraków, Polen",,"3W5V+9R Krakau, Polen","5,0",10
Komis Super Ciuch,Bekleidungsgeschäft,"Józefa 9, 31-059 Kraków, Polen",,"3W2V+6Q Krakau, Polen","5,0",6
Komis Wielobranżowy,Gebrauchtwarenhändler,"Świętej Agnieszki 9, 31-071 Kraków, Polen",,"3W2R+J5 Krakau, Polen","2,0",1
Kub-Car. FHU. Borowiec J.,Gebrauchtwagenhändler,"Korczaka 9, 32-540 Trzebinia, Polen",kub-car.pl,"5F3C+6J Trzebinia, Polen","4,5",37
Wesołowska Natalia. Komis,Gebrauchtwarenhändler,"Świętej Agnieszki 2, 31-062 Kraków, Polen",,"3W3R+24 Krakau, Polen","4,0",6
Turnusy,Kommissionsgeschäft,"Smoleńsk 15, 31-108 Kraków, Polen",turnusysklep.com,"3W5J+M6 Krakau, Polen","4,7",75
AGART Vintage,Bekleidungsgeschäft,"Brzozowa 8, 31-050 Kraków, Polen",facebook.com,"3W3V+JW Krakau, Polen","5,0",13
Multi - Auto. Mazurkiewicz P.,Autohändler,"Stara Huta 17, 32-500 Chrzanów, Polen",,"49MW+63 Chrzanów, Polen","4,5",2
Handel Odzieżą Używaną Janeczka,Bekleidungsgeschäft,"Żywiecka 16A, 33-300 Nowy Sącz, Polen",,"JPG2+39 Neu Sandez, Polen","5,0",1
Komis star,Kommissionsgeschäft,"Długa 17, 31-147 Kraków, Polen",komisstar.pl,"3W9Q+6C Krakau, Polen","4,8",19
Nowy Sącz Lwowska 69,Lebensmittelhändler,"Lwowska 60, 33-300 Nowy Sącz, Polen",,"JPF2+R8 Neu Sandez, Polen","4,5",97
Kakto AGD RTV,Haushaltswarengeschäft,"Józefa Ignacego Kraszewskiego 11, 33-300 Nowy Sącz, Polen",kakto.pl,"JMGW+GM Neu Sandez, Polen","4,5",4
Fretex. Sklep z odzieżą używaną. Bąk I.,Bekleidungsgeschäft,"Mieczysława Niedziałkowskiego 3, 33-300 Nowy Sącz, Polen",,"JM5X+78 Neu Sandez, Polen",,
Pisstacio,Restaurant,"Grzybowska 63, 00-844 Warszawa, Polen",,"6XMP+CF Warschau, Polen","5,0",3
San Escobar,Restaurant,"Hala Gwardii, plac Żelaznej Bramy 1, 00-136 Warszawa, Polen",facebook.com,"62Q2+J2 Warschau, Polen","4,7",43
Samsonite Service. Repair suitcases,Kofferreparaturdienst,"Lwowska 4, 00-658 Warszawa, Polen",samsonite.pl,"62C7+92 Warschau, Polen","4,7",168
BAGAŻNIKI JELENIA GÓRA - Cruz Partner,Kfz-Ersatzteilgeschäft,"Słowackiego 2, 58-500 Jelenia Góra, Polen",autoshop.bagazniki.pl,"VPWJ+M7 Jelenia Góra, Polen",,
Dolfi 1920 Sp. z o.o.,Kofferreparaturdienst,"Mineralna 15/budynek 2, 02-274 Warszawa, Polen",dolfi1920.de,"5WFM+GQ Warschau, Polen","2,9",397
Sawpol,Frachtspeditionsdienst,"Suponin 1, 86-022 Suponin, Polen",eu-transport.pl,"767P+RC Suponin, Polen","4,5",2
Naprawa Toreb,Kofferreparaturdienst,"C.H.Manhattan, plac Pułaskiego 7/5, 10-515 Olsztyn, Polen",,"QFJR+55 Olsztyn, Polen","5,0",2
Wypożyczalnia boxów THULE Lublin,Ausrüstungsverleih,"Mazurska, 20-728 Lublin, Polen",facebook.com,"6FJW+JG Lublin, Polen","5,0",9
Quay Łożyska Pasy Technika liniowa Łańcuchy Pneumatyka,Lageranbieter,"Droga Męczenników Majdanka 74, 20-325 Lublin, Polen",quay.pl,"6JG6+2J Lublin, Polen","4,7",16
"Bagażniki samochodowe, boxy dachowe - sprzedaż i wynajem",Geschäft,"Racławicka 2, 66-400 Gorzów Wielkopolski, Polen",szaniecgorzow.pl,"Q62V+XG Gorzów Wielkopolski, Polen","5,0",1
"Adax. Sprzedaż bagażników samochodowych, autoboksów i łańcuchów",Kfz-Ersatzteilgeschäft,"Kożuchowska 15B, 65-364 Zielona Góra, Polen",bagazniki-akcesoria.pl,"WGG4+HX Zielona Góra, Polen","4,8",97
Bounce Luggage Storage - Teatr Wielki,Gepäckaufbewahrung,"Krakowskie Przedmieście 55, 00-071 Warszawa, Polen",usebounce.com,"62W7+2F Warschau, Polen","4,3",63
Roncato Poland Sp. z o.o.,Importeur,"Marszałkowska 111, 00-102 Warszawa, Polen",roncato.pl,"62Q4+F3 Warschau, Polen","3,7",3
"Taurus - bagażniki dachowe, boxy dachowe, rowery i akcesoria",Kfz-Ersatzteilgeschäft,"al. Prymasa Tysiąclecia 76B, 01-424 Warszawa, Polen",taurus.info.pl,"6XR5+83 Warschau, Polen","4,3",141
Antimatter Bicycles & Cafe,Fahrradgeschäft,"Skolimowska 6/16, 00-795 Warszawa, Polen",antymateria.com,"626C+PJ Warschau, Polen","4,6",194
Wektor,Fahrradgeschäft,"al. Jana Pawła II 68, 00-170 Warszawa, Polen",wektorrowery.pl,"6XXQ+M3 Warschau, Polen","3,7",69
Christine. Zakład kaletniczy,Kofferreparaturdienst,"Osiedle Zielone 1, 31-968 Kraków, Polen",,"32JR+CF Krakau, Polen","4,6",114
"Roncato.sklep.pl - Walizki, bagaż, torby podróżne, torby na laptopa, teczki",Internetladen,"Szyby Rycerskie 22N, 41-909 Bytom, Polen",roncato.sklep.pl,"8WH6+9M Bytom, Polen","4,2",15
Alucar,Kfz-Ersatzteilgeschäft,"Zakopiańska 163, 30-435 Kraków, Polen",alucar.pl,"XWXC+X7 Krakau, Polen","4,5",190
PETERSON portfele skórzane,Einkaufszentrum,"Najświętszej Marii Panny 9, 59-220 Legnica, Polen",peterson.com.pl,"6557+QP Legnica, Polen","5,0",2
Torby - walizki - plecaki - galanteria męska,Krämerladen,"Waleriana Łukasińskiego, 48-300 Nysa, Polen",,"F8CR+84 Neisse, Polen","5,0",2
Wist,Industrieanlagenanbieter,"Robotnicza 70, 53-608 Wrocław, Polen",wist24.pl,"4X6X+HP Breslau, Polen","4,5",12
Bagbox - Dedicated racks and accessories,Kfz-Ersatzteilgeschäft,"Wysoka 4a, 53-512 Wrocław, Polen",bagbox.pl,"4225+VC Breslau, Polen","4,7",135
"Taurus Lublin - bagażniki dachowe, boxy dachowe, łańcuchy śniegowe",Kfz-Ersatzteilgeschäft,"Nałęczowska 73, 20-701 Lublin, Polen",taurus.info.pl,"7G25+JJ Lublin, Polen","4,9",40
Bagażniki samochodowe - Remat,Fahrzeugzubehörgeschäft,"Gęsia 21, 20-719 Lublin, Polen",bagazniki-lublin.pl,"6FGM+C6 Lublin, Polen","5,0",33
ROYAL NANCY bags,Taschengeschäft,"Podchorążych 11a, 68-200 Żary, Polen",facebook.com,"J4QP+JP Sorau, Polen",,
NAVITOR POLAND Sp. o.o.,Koffergeschäft,"al. Marszałka Józefa Piłsudskiego 34, 05-270 Marki, Polen",navitor.pl,"837X+G6 Marki, Polen","5,0",1
This is me Sp. z o.o.,Koffergeschäft,"Radziwie 5/183, 01-164 Warszawa, Polen",thisisme.shop,"6XV6+W8 Warschau, Polen","5,0",1
Wittchen,Lederwarengeschäft,"Atrium Targówek ul, Głębocka 15, 03-287 Warszawa, Polen",wittchen.com,"8335+68 Warschau, Polen","3,1",9
Travel WITTCHEN,Koffergeschäft,"Factory Annopol, Annopol 2, 03-236 Warszawa, Polen",wittchen.com,"72XG+X4 Warschau, Polen","2,0",2
Bagazowo.pl,Koffergeschäft,"Korkowa 161C/70, 04-549 Warszawa, Polen",bagazowo.pl,"65R5+H9 Warschau, Polen",,
Samsonite Luana,Koffergeschäft,"Świętojańska 15/34, 15-277 Białystok, Polen",,"45G9+47 Białystok, Polen","5,0",2
Torballo.pl Sklep Internetowy,Koffergeschäft,"al. Marszałka Józefa Piłsudskiego 34, 05-270 Marki, Polen",torballo.pl,"837X+G7 Marki, Polen","5,0",2
SKLEP APEKS GALERIA PÓŁNOCNA,Koffergeschäft,"Światowida 17, 03-144 Warszawa, Polen",apeks.pl,"8X88+RQ Warschau, Polen","3,4",5
Salon WITTCHEN,Koffergeschäft,"Galeria Północna, Światowida 17, 03-144 Warszawa, Polen",wittchen.com,"8X88+JH Warschau, Polen","4,2",2.830
Słoń Torbalski,Koffergeschäft,"Galeria Bronowice, Stawowa 61, 31-346 Kraków, Polen",slontorbalski.pl,"3VVW+27 Krakau, Polen","4,6",19
Sklep Na Rogu Torby Walizki Plecaki,Koffergeschäft,"Tadeusza Kościuszki 12, 34-500 Zakopane, Polen",,"7XW3+8P Zakopane, Polen","4,3",11
Kacper Waliczek - szkolenia gastronomiczne,Kochschule,"Partynicka 46/14, 53-031 Wrocław, Polen",szkoleniakulinarne.odoo.com,"3X8W+8C Breslau, Polen","5,0",11
Akademia Kulinarna Culinary Solutions,Bildungseinrichtung,"Sosnowa, 55-040 Bielany Wrocławskie, Polen",culinarysolutions.pl,"2XG7+VR Bielany Wrocławskie, Polen","4,4",179
Czarny Deszcz,Kochschule,"al Ignacego Jana Paderewskiego 35, 51-612 Wrocław, Polen",czarnydeszcz.pl,"438R+XC Breslau, Polen",,
Art of cooking,Catering,"Wiejska 3A, 52-411 Wrocław, Polen",razor.eatbu.com,"3XH7+55 Breslau, Polen","5,0",2
Zielone Marzenie Kuchnia Rycerska,Kochschule,"Główna 25, 58-311 Nowe Bogaczowice, Polen",business.site,"R4QJ+HQ Nowe Bogaczowice, Polen",,
Bounce Luggage Storage - Stradom,Gepäckaufbewahrung,"Stradomska 19, 33-332 Kraków, Polen",usebounce.com,"3W2R+X5 Krakau, Polen","4,8",9
Kursy Domowego Masarstwa,Kochschule,"Kłopotnica 20, 59-630 Kłopotnica, Polen",kursydomowegomasarstwa.pl,"WFJP+VM Kłopotnica, Polen",,
Young Chef Academy,Kochkurs,"Inżynierska 45/U17, 53-228 Wrocław, Polen",akademiamlodegokucharza.pl,"3XWQ+6C Breslau, Polen","4,7",33
Studio Kulinarne - Browar Mieszczański (Domar),Kochkurs,"Braniborska 14, 53-860 Wrocław, Polen",studiokulinarnebm.pl,"4268+23 Breslau, Polen","4,8",97
SUPERKUCHARZ,Kochschule,"Nowy Dwór 43A, 56-500 Syców, Polen",,"8P33+5C Syców, Polen","5,0",4
Przepis- studio kulinarne,Charter School,"Tadeusza Kościuszki 141, 50-440 Wrocław, Polen",przepiswroclaw.com,"32XX+MH Breslau, Polen","5,0",21
Foodie by Patryk Buchta,Kochschule,"Hucka 6, 46-024 Jełowa, Polen",facebook.com,"R34F+67 Jellowa, Polen",,
Akademia Smaku,Kochschule,"Zaułek 20, 85-106 Bydgoszcz, Polen",michalski1.wixsite.com,"42C2+CJ Bydgoszcz, Polen",,
New Line TOREBKI,Koffergeschäft,"Jana Dekerta 1/3, 41-200 Sosnowiec, Polen",allegro.pl,"74GH+9W Sosnowiec, Polen","4,5",22
SAMIDARE.PL Ekskluzywna galanteria & bagaż podróżny,Koffergeschäft,"Artura Grottgera 32/6, 44-144 Gliwice, Polen",,"8M5M+V5 Gliwice, Polen",,
PUCCINI,Koffergeschäft,"C.H. Silesia, Chorzowska 107, 40-101 Katowice, Polen",bit.ly,"72C3+CM Katowice, Polen","3,9",22
Hala sportowa Zespółu Szkół Elektronicznych im. Wojska Polskiego,Hochschule,"Leona Wyczółkowskiego 7, 85-092 Bydgoszcz, Polen",,"42FF+9G Bydgoszcz, Polen","5,0",1
Travel WITTCHEN,Koffergeschäft,"M1 Czeladź, Będzińska 80, 41-250 Czeladź, Polen",wittchen.com,"84C3+4P Czeladź, Polen","4,1",24
